Date,City,Lat,Lon,Country,Metric,Type,Value,Prev,Prev Date,Scope,Since,Elevation,WMO
2025-07-26,Kochi (CIAL),,,India,Max Temp,Low,24.5,11,,Month,2004-01-01,9,43336
2025-07-26,Kozhikode AP  (Karipur),,,India,Max Temp,Low,24.1,24.5,2022-07-10,Month,1988-01-01,107,43320
2025-07-24,Jorhat,,,India,Min Temp,High,29.1,29,2025-07-14,Month,1970-01-01,88,42423
2025-07-24,North Lakhimpur,,,India,Min Temp,High,28.5,28.2,2025-07-14,Month,1969-01-01,102,42309
2025-07-24,Raisen,,,India,Max Temp,Low,23.6,27,,Month,1971-01-01,440,42672
2025-07-24,Tadong,,,India,Max Temp,High,32.8,32.6,2025-07-23,Month,1978-01-01,1322,42217
2025-07-23,Tadong,,,India,Max Temp,High,32.6,32.5,2025-07-22,Month,1978-01-01,1322,42217
2025-07-22,Tadong,,,India,Max Temp,High,32.5,32.4,2025-07-13,Month,1978-01-01,1322,42217
2025-07-14,Jorhat,,,India,Min Temp,High,29,28.9,1972-07-14,Month,1970-01-01,88,42423
2025-07-14,North Lakhimpur,,,India,Min Temp,High,28.2,27.4,2025-07-11,Month,1969-01-01,102,42309
2025-07-13,Gaya,,,India,Min Temp,Low,16.2,16.7,1886-07-02,Month,1886-01-01,116,42591
2025-07-13,Guwahati,,,India,Max Temp,High,38.4,38.4,,Month,1951-01-01,54,42410
2025-07-13,Khajuraho,,,India,Rain,24hrs,160.4,143.2,1981-07-07,Month,1970-01-01,221,42567
2025-07-13,Tadong,,,India,Max Temp,High,32.4,32.3,2025-07-01,Month,1978-01-01,1322,42217
2025-07-13,Tikamgarh,,,India,Rain,24hrs,215,180,1974-07-03,Month,1968-01-01,330,42562
2025-07-12,Narsapur,,,India,Max Temp,High,39.6,38.9,2002-07-11,Month,1988-01-01,4,43187
2025-07-11,North Lakhimpur,,,India,Min Temp,High,27.4,27.3,2022-07-07,Month,1969-01-01,102,42309
2025-07-10,Aminidivi,,,India,Min Temp,High,29,28.5,2014-07-02,Month,1969-01-01,12,43311
2025-07-06,Jharsuguda,,,India,Rain,24hrs,205.2,195.1,2002-07-17,Month,1951-01-01,230,42886
2025-07-06,Koraput,,,India,Max Temp,High,35.5,35,2025-07-05,Month,1951-01-01,913,43097
2025-07-06,Srinagar,,,India,Min Temp,High,25.2,21,,Month,1969-01-01,1585,42027
2025-07-06,Srinagar,,,India,Min Temp,High,25.2,21,,Year,1969-01-01,1585,42027
2025-07-05,Koraput,,,India,Max Temp,High,35,33.6,1969-07-09,Month,1951-01-01,913,43097
2025-07-05,Pahalgam,,,India,Max Temp,High,31.6,31.5,2024-07-21,Month,1978-01-01,2310,42028
2025-07-05,Qazigund,,,India,Min Temp,High,23.4,22.8,1997-07-18,Month,1969-01-01,1690,42044
2025-07-05,Qazigund,,,India,Min Temp,High,23.4,23.3,1970-06-28,Year,1969-01-01,1690,42044
2025-07-01,Mandi,,,India,Rain,24hrs,216.8,198.8,1976-06-26,Month,1954-01-01,760,42078
2025-07-01,Tadong,,,India,Max Temp,High,32.3,32.1,2017-07-18,Month,1978-01-01,1322,42217
2025-06-26,Washim,,,India,Max Temp,Low,24,16,,Month,2007-01-01,565,42935
2025-06-25,Pahalgam,,,India,Min Temp,High,18.8,17.8,2025-05-22,Month,1978-01-01,2310,42028
2025-06-25,Srinagar,,,India,Min Temp,High,25,24.6,1978-06-29,Month,1969-01-01,1585,42027
2025-06-24,Alibag,,,India,Min Temp,Low,19.9,20.5,2020-06-08,Month,1934-01-01,7,43058
2025-06-24,Pachmarhi,,,India,Min Temp,Low,14.8,15.2,1992-06-11,Month,1906-01-01,1075,42767
2025-06-24,Surat,,,India,Rain,24hrs,346,260.1,1922-06-27,Month,1894-01-01,8,42840
2025-06-23,Haveri,,,India,Max Temp,Low,21.8,23.4,2021-06-19,Month,2004-01-01,563,43227
2025-06-22,Bhilwara,,,India,Rain,24hrs,175,81,2019-06-28,Month,1962-01-01,421,42447
2025-06-22,Pahalgam,,,India,Min Temp,High,17.8,17.6,2008-06-15,Month,1978-01-01,2310,42028
2025-06-22,Tikamgarh,,,India,Rain,24hrs,215,136,2001-06-30,Month,1968-01-01,330,42562
2025-06-21,Bhilwara,,,India,Max Temp,Low,25.4,27.5,2025-05-17,Month,1969-01-01,421,42447
2025-06-21,Kangra AP,,,India,Rain,24hrs,87.8,78.6,2015-06-21,Month,2012-01-01,771,42076
2025-06-17,Bhilwara,,,India,Max Temp,Low,27.5,27.8,1971-06-27,Month,1969-01-01,421,42447
2025-06-14,Dhubri,,,India,Min Temp,High,29.6,29.2,2023-06-08,Month,1969-01-01,35,42404
2025-06-14,Kalimpong,,,India,Min Temp,High,23,11,,Month,1969-01-01,1209,42296
2025-06-14,Supaul,,,India,Min Temp,High,30.2,29.9,2025-06-11,Month,1969-01-01,50,42393
2025-06-13,Cherrapunji,,,India,Max Temp,High,30.5,29.9,2023-06-09,Month,1913-01-01,1313,42515
2025-06-13,Passighat,,,India,Max Temp,High,38.8,38.6,2025-06-12,Month,1957-01-01,157,42220
2025-06-12,Dibrugarh (Mohanbari),,,India,Max Temp,High,38.7,38.2,2015-06-26,Month,1952-01-01,111,42314
2025-06-12,Itanagar,,,India,Max Temp,High,39.7,39.5,2015-06-26,Month,2007-01-01,203,42308
2025-06-12,Passighat,,,India,Max Temp,High,38.6,10,,Month,1957-01-01,157,42220
2025-06-11,Darjeeling,,,India,Max Temp,High,25.8,25.6,1979-06-02,Month,1951-01-01,2128,42295
2025-06-11,Golaghat,,,India,Min Temp,High,30,29,2024-06-24,Month,1969-01-01,95,42420
2025-06-11,Kalimpong,,,India,Min Temp,High,23,22.6,1980-06-30,Month,1969-01-01,1209,42296
2025-06-11,Supaul,,,India,Min Temp,High,29.9,29.6,2024-06-27,Month,1969-01-01,50,42393
2025-06-10,Passighat,,,India,Max Temp,High,38.6,21,,Month,1957-01-01,157,42220
2025-05-30,Adilabad,,,India,Rain,24hrs,65,55,2025-05-28,Month,1980-01-01,270,43025
2025-05-28,Adilabad,,,India,Rain,24hrs,55,32,1981-05-09,Month,1980-01-01,270,43025
2025-05-28,Akola,,,India,Rain,24hrs,140.7,66.7,2025-05-22,Month,1885-01-01,282,42933
2025-05-28,Dharwad,,,India,Max Temp,Low,24.8,25,2025-05-21,Month,2007-01-01,686,43200
2025-05-28,Haveri,,,India,Max Temp,Low,24.2,24.4,2025-05-20,Month,2005-01-01,563,43227
2025-05-28,Okha,,,India,Min Temp,High,30,27,,Month,1969-01-01,7,42730
2025-05-28,Phalodi,,,India,Min Temp,High,35.4,34,2025-05-27,Month,1969-01-01,233,42237
2025-05-28,Udgir,,,India,Max Temp,Low,29,29.5,2025-05-24,Month,2005-01-01,640,43076
2025-05-27,Alibag,,,India,Max Temp,Low,26.7,27,2025-05-26,Month,1969-01-01,7,43058
